Name of Primary Health Center,PHC LGA,State of PHC,Check for any of these building failures./Damaged Chairs
Anguwan Dampar Phcc,Ibi,Taraba State,Yes
First Referral Hospital Sunkani,Ardo-kola,Taraba State,Yes
Garin Jatau Phc,Ardo-kola,Taraba State,Yes
Primary Health Care Rafin Damisa Dispensary.,Ibi,Taraba State,Yes
Phcc Sarki Kudu Ibi Lga,Ibi,Taraba State,Yes
Primary Health Care Center  Mallum,Ardo-kola,Taraba State,No
Pamanga Primary Health Care Centers,Bali,Taraba State,No
Kankani Primary Health Clinic,Bali,Taraba State,Yes
Dankum Primary Health Care Center,Yorro,Taraba State,Yes
Kajong Primary Health Care Center,Yorro,Taraba State,Yes
Tunapo Primary Health Care Center,Zing,Taraba State,Yes
Borno-Kuru-Kuru,Bali,Taraba State,No
Laapo Primary Health Care Center,Zing,Taraba State,No
Lagos Buban Health Post,Donga,Taraba State,Yes
Wasabi Health Post,Donga,Taraba State,Yes
Pupule Primary Health Care Center,Yorro,Taraba State,Yes
Yitti Primary Health Centre,Lau,Taraba State,Yes
Abbare Primary Health Centre,Lau,Taraba State,Yes
Lankaviri Primary Health Care Center,Yorro,Taraba State,Yes
Phcc Zango Kombi,Ardo-kola,Taraba State,No
Lau Primary Health Care Centre,Lau,Taraba State,No
Jimlari Primary Health Care Centre,Lau,Taraba State,Yes
Fada Primary Health Clinic,Donga,Taraba State,Yes
Kente Primary Health Care Center,Wukari,Taraba State,No
Kakara Primary Health Center,Sardauna,Taraba State,Yes
Kusuku Primary Health Center,Sardauna,Taraba State,Yes
Warwar Primary Health Clinic,Sardauna,Taraba State,Yes
Costine Primary Health Center,Ussa,Taraba State,Yes
Chenchenji Primary Health Center,Wukari,Taraba State,Yes
Kasimbli Primary Health Center. A  Opposite Center Mo- Ques Kasimbli,Takum,Taraba State,No
Bete Primary Health Care Center,Takum,Taraba State,Yes
Dutse Primary Health Center,Takum,Taraba State,Yes
High Mammy Primary Health Center.,Takum,Taraba State,No
Kashimbila Primary Health Center,Takum,Taraba State,No
Mayo Ndaga Primary Health Center,Sardauna,Taraba State,Yes
Wapan Nghaku Primary Health Care Center,Wukari,Taraba State,Yes
Primary Health Care Centre Sibre,Ardo-kola,Taraba State,Yes
Primary Health Care Centre Ardo Kola,Ardo-kola,Taraba State,Yes
Yorro Manang Boli Sabo Health Center,Yorro,Taraba State,Yes
Didango Primary Health Care Muri A Ward Karim Lamido Lga,Karim Lamido,Taraba State,Yes
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes
Karim Jen Ardido Ward  Kodi Dispensary Primary Health Center,Karim Lamido,Taraba State,Yes
Yorro Lankaviri Waru  Primary Health Center,Yorro,Taraba State,No
Sabo Gida Primary Health Care Centre,Gassol,Taraba State,Yes
Lamido Borno primary health care center,Ardo kola,Taraba State,Yes
Barkin dutse primary health care center,Ardo kola,Taraba State,Yes
Wuro ladde PHCC,Ardo kola,Taraba State,Yes
Ali goro PHCC,Ardo kola,Taraba State,Yes
Dingding PHCC,Zing,Taraba State,Yes
Bitako PHCC,Zing,Taraba State,Yes
Tasompo PHCC,Zing,Taraba State,Yes
Bantaje PHCC,Wukari,Taraba State,No
Ndo(Ando) idi PHCC,Wukari,Taraba State,Yes
Puje(wukari) PHCC,Wukari,Taraba State,No
Pwadzu,Wukari,Taraba State,No
Hon Imam Primary Healthcare Centre Jalingo ,Jalingo,Taraba State,Yes
Old Barade Modern Primary Healthcare Centre,Jalingo,Taraba State,Yes
Yarima Primary Healthcare Centre,Gassol ,Taraba State,No
Mutum-Biyu Primary Healthcare Centre ,Gassol ,Taraba State,Yes
Balasa Agure Maternity Health Centre,Gassol ,Taraba State,Yes
Kpankufung primary health cente,Takum ,Taraba State,Yes
Bali Town Primary Health Care Center,Bali ,Taraba State,Yes
Jenuwa gida primary health center,Takum ,Taraba State,Yes
Kwesati primary health center,USSA ,Taraba State,Yes
Gayama Primary Health Care Center,Donga ,Taraba State,No
Nyita primary health care center,Gonga ,Taraba State,Yes
Kpankufung primary health center,Takum ,Taraba State,No
Yirom primary health center,Ussa ,Taraba State,Yes
Lekitaba primary health center,Sardauna ,Taraba State,Yes
Sahkaka primary health clinic,Sardauna ,Taraba State,No
Negrah primary health center,Sardauna ,Taraba State,Yes
Mayo-Kam primary health care center,Bali ,Taraba State,Yes
Budong Primary Health Clinic,Lau ,Taraba State,Yes
Kunini Primary Health Care Center,Lau ,Taraba State,No
